antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Vencimiento'}),frozenset({'Caducidad'}),0.08067262664963815,0.08067262664963815,0.08067262664963815,1.0,12.395778364116095,1.0,0.07416455395908624,inf,1.0,1.0,1.0,1.0
frozenset({'Caducidad'}),frozenset({'Vencimiento'}),0.08067262664963815,0.08067262664963815,0.08067262664963815,1.0,12.395778364116095,1.0,0.07416455395908624,inf,1.0,1.0,1.0,1.0
"frozenset({'CECINAS GRANEL', 'ANGOL'})","frozenset({'Interno', 'Manipulacion'})",0.06992337164750957,0.5405491698595147,0.06140911025968497,0.8782343987823441,1.6247077005235095,1.0,0.02361208976184534,3.773239942528739,0.41341181972166835,0.1118433805000969,0.734975772749341,0.49591971957231007
"frozenset({'CECINAS GRANEL', 'ANGOL'})",frozenset({'Interno'}),0.06992337164750957,0.5405491698595147,0.06140911025968497,0.8782343987823441,1.6247077005235095,1.0,0.02361208976184534,3.773239942528739,0.41341181972166835,0.1118433805000969,0.734975772749341,0.49591971957231007
"frozenset({'CECINAS GRANEL', 'Manipulacion', 'ANGOL'})",frozenset({'Interno'}),0.06992337164750957,0.5405491698595147,0.06140911025968497,0.8782343987823441,1.6247077005235095,1.0,0.02361208976184534,3.773239942528739,0.41341181972166835,0.1118433805000969,0.734975772749341,0.49591971957231007
"frozenset({'CECINAS GRANEL', 'TEMUCO IV'})",frozenset({'Interno'}),0.05949340144742444,0.5405491698595147,0.05183056619838229,0.8711985688729874,1.6116916229829865,1.0,0.01967145743385816,3.567125195118488,0.40354199570175703,0.0945447485925063,0.7196622082767176,0.48354179280428267
"frozenset({'CECINAS GRANEL', 'TEMUCO IV'})","frozenset({'Interno', 'Manipulacion'})",0.05949340144742444,0.5405491698595147,0.05183056619838229,0.8711985688729874,1.6116916229829865,1.0,0.01967145743385816,3.567125195118488,0.40354199570175703,0.0945447485925063,0.7196622082767176,0.48354179280428267
"frozenset({'CECINAS GRANEL', 'Manipulacion', 'TEMUCO IV'})",frozenset({'Interno'}),0.05949340144742444,0.5405491698595147,0.05183056619838229,0.8711985688729874,1.6116916229829865,1.0,0.01967145743385816,3.567125195118488,0.40354199570175703,0.0945447485925063,0.7196622082767176,0.48354179280428267
"frozenset({'CECINAS GRANEL', 'Manipulacion'})",frozenset({'Interno'}),0.26351638995317156,0.5405491698595147,0.22945934440187313,0.8707592891760905,1.6108789685171383,1.0,0.08701577856831008,3.5550007982120047,0.5149074501056334,0.3993332098536766,0.7187061109795103,0.6476261498056077
"frozenset({'TEMUCO II', 'CECINAS GRANEL', 'Manipulacion'})",frozenset({'Interno'}),0.08418475947211579,0.5405491698595147,0.07194550872711793,0.8546144121365361,1.5810114228066336,1.0,0.02643950687964282,3.160222666444557,0.4012747164336134,0.1301501732768579,0.6835666009809805,0.4938557392440901
frozenset({'CECINAS GRANEL'}),frozenset({'Interno'}),0.27862920391656026,0.5405491698595147,0.22945934440187313,0.8235294117647057,1.5235050901636493,1.0,0.07884655952615902,2.6035547041294143,0.4763415251022212,0.38909944053419954,0.6159097412418751,0.6240112110999154
frozenset({'CECINAS GRANEL'}),"frozenset({'Interno', 'Manipulacion'})",0.27862920391656026,0.5405491698595147,0.22945934440187313,0.8235294117647057,1.5235050901636493,1.0,0.07884655952615902,2.6035547041294143,0.4763415251022212,0.38909944053419954,0.6159097412418751,0.6240112110999154
"frozenset({'TEMUCO II', 'CECINAS GRANEL'})","frozenset({'Interno', 'Manipulacion'})",0.09929757343550447,0.5405491698595147,0.07194550872711793,0.7245444801714899,1.3403858900750774,1.0,0.018270287837491787,1.667967410587832,0.2819423847768952,0.12668665667166415,0.40046790263871174,0.428820773261567
"frozenset({'TEMUCO II', 'CECINAS GRANEL'})",frozenset({'Interno'}),0.09929757343550447,0.5405491698595147,0.07194550872711793,0.7245444801714899,1.3403858900750774,1.0,0.018270287837491787,1.667967410587832,0.2819423847768952,0.12668665667166415,0.40046790263871174,0.428820773261567
"frozenset({'TEMUCO II', 'Manipulacion'})",frozenset({'Interno'}),0.1780544912728821,0.5405491698595147,0.12398893146019582,0.6963538553496712,1.2882340667189427,1.0,0.027741724012881205,1.5131126748524246,0.2722121482067665,0.20851977805620187,0.3391106844719737,0.4628648583698543
"frozenset({'Manipulacion', 'ANGOL'})",frozenset({'Interno'}),0.1997658578118348,0.5405491698595147,0.12611749680715198,0.6313265849760256,1.1679355370023106,1.0,0.018134228200690813,1.2462271794417497,0.17968286248676343,0.20533702997747358,0.1975780848818012,0.43232011469710907
"frozenset({'Interno', 'CECINAS GRANEL', 'ANGOL'})",frozenset({'Manipulacion'}),0.06140911025968497,0.918688803746275,0.06140911025968497,1.0,1.088507877664504,1.0,0.004993248216091879,inf,0.0866311373171561,0.06684430027803522,1.0,0.5334221501390176
"frozenset({'ANGOL', 'Clientes'})",frozenset({'Manipulacion'}),0.07364836100468285,0.918688803746275,0.07364836100468285,1.0,1.088507877664504,1.0,0.005988436335416958,inf,0.08777573529411771,0.08016682113067655,1.0,0.5400834105653383
frozenset({'Interno'}),frozenset({'Manipulacion'}),0.5405491698595147,0.918688803746275,0.5405491698595147,1.0,1.088507877664504,1.0,0.043952699635235126,inf,0.17697475098447998,0.58839202965709,1.0,0.794196014828545
frozenset({'FIDEOS Y PASTAS'}),frozenset({'Manipulacion'}),0.09386973180076628,0.918688803746275,0.09386973180076628,1.0,1.088507877664504,1.0,0.007632660184736628,inf,0.08973455485083383,0.10217794253938833,1.0,0.5510889712696941
frozenset({'Clientes'}),frozenset({'Manipulacion'}),0.3781396338867603,0.918688803746275,0.3781396338867603,1.0,1.088507877664504,1.0,0.030746985982278097,inf,0.13075474927263397,0.41160797034291013,1.0,0.705803985171455
"frozenset({'TEMUCO V', 'Interno'})",frozenset({'Manipulacion'}),0.06108982545764155,0.918688803746275,0.06108982545764155,1.0,1.088507877664504,1.0,0.0049672867868920945,inf,0.08660167762412146,0.0664967562557924,1.0,0.5332483781278962
"frozenset({'TEMUCO II', 'Clientes'})",frozenset({'Manipulacion'}),0.05406555981268625,0.918688803746275,0.05406555981268625,1.0,1.088507877664504,1.0,0.004396135344496836,inf,0.08595859585958592,0.05885078776645042,1.0,0.5294253938832252
"frozenset({'Clientes', 'TEMUCO IV'})",frozenset({'Manipulacion'}),0.0829076202639421,0.918688803746275,0.0829076202639421,1.0,1.088507877664504,1.0,0.006741317782210696,inf,0.08866194731345006,0.09024559777571826,1.0,0.5451227988878591
"frozenset({'CECINAS GRANEL', 'TEMUCO IV'})",frozenset({'Manipulacion'}),0.05949340144742444,0.918688803746275,0.05949340144742444,1.0,1.088507877664504,1.0,0.0048374796408931706,inf,0.0864546791897702,0.06475903614457831,1.0,0.5323795180722891
"frozenset({'TEMUCO III', 'Clientes'})",frozenset({'Manipulacion'}),0.09663686675180928,0.918688803746275,0.09663686675180928,1.0,1.088507877664504,1.0,0.007857659237801434,inf,0.09000942507068802,0.1051899907321594,1.0,0.5525949953660797
"frozenset({'Interno', 'ANGOL'})",frozenset({'Manipulacion'}),0.12611749680715198,0.918688803746275,0.12611749680715198,1.0,1.088507877664504,1.0,0.01025476453391487,inf,0.09304591401778103,0.1372798887859129,1.0,0.5686399443929564
"frozenset({'CECINAS GRANEL', 'ANGOL'})",frozenset({'Manipulacion'}),0.06992337164750957,0.918688803746275,0.06992337164750957,1.0,1.088507877664504,1.0,0.005685552994752804,inf,0.08742419041080222,0.076112140871177,1.0,0.5380560704355885
"frozenset({'Interno', 'TEMUCO II'})",frozenset({'Manipulacion'}),0.12398893146019582,0.918688803746275,0.12398893146019582,1.0,1.088507877664504,1.0,0.010081688339249634,inf,0.09281982748147244,0.13496292863762743,1.0,0.5674814643188137
"frozenset({'Interno', 'FIDEOS Y PASTAS'})",frozenset({'Manipulacion'}),0.05119199659429544,0.918688803746275,0.05119199659429544,1.0,1.088507877664504,1.0,0.004162482481698773,inf,0.08569826135726294,0.05572289156626506,1.0,0.5278614457831325
"frozenset({'Interno', 'TEMUCO IV'})",frozenset({'Manipulacion'}),0.10706683695189442,0.918688803746275,0.10706683695189442,1.0,1.088507877664504,1.0,0.008705732591661061,inf,0.09106078665077473,0.11654309545875811,1.0,0.558271547729379
"frozenset({'Interno', 'TEMUCO III'})",frozenset({'Manipulacion'}),0.1222860791826309,0.918688803746275,0.1222860791826309,1.0,1.088507877664504,1.0,0.009943227383517453,inf,0.09263974778707407,0.13310936051899908,1.0,0.5665546802594995
"frozenset({'Interno', 'TEMUCO II', 'CECINAS GRANEL'})",frozenset({'Manipulacion'}),0.07194550872711793,0.918688803746275,0.07194550872711793,1.0,1.088507877664504,1.0,0.005849975379684763,inf,0.08761467889908246,0.0783132530120482,1.0,0.5391566265060241
"frozenset({'Interno', 'CECINAS GRANEL', 'TEMUCO IV'})",frozenset({'Manipulacion'}),0.05183056619838229,0.918688803746275,0.05183056619838229,1.0,1.088507877664504,1.0,0.004214405340098343,inf,0.08575597710180707,0.05641797961075069,1.0,0.5282089898053753
"frozenset({'Interno', 'CECINAS GRANEL'})",frozenset({'Manipulacion'}),0.22945934440187313,0.918688803746275,0.22945934440187313,1.0,1.088507877664504,1.0,0.018657613784911764,inf,0.10552486187845295,0.24976830398517144,1.0,0.6248841519925857
"frozenset({'TEMUCO V', 'Clientes'})",frozenset({'Manipulacion'}),0.07088122605363985,0.918688803746275,0.07088122605363985,1.0,1.088507877664504,1.0,0.005763437282352152,inf,0.08751431844215346,0.07715477293790547,1.0,0.5385773864689527
frozenset({'TEMUCO III'}),frozenset({'Manipulacion'}),0.22254150702426564,0.918688803746275,0.2189229459344402,0.983739837398374,1.0708085625805286,1.0,0.014476555062424318,5.000638569604092,0.08505438932916995,0.23736441264712674,0.8000255395224112,0.6110195943247663
frozenset({'CECINAS GRANEL'}),frozenset({'Manipulacion'}),0.27862920391656026,0.918688803746275,0.26351638995317156,0.9457601222307104,1.0294673434290726,1.0,0.007542859918289901,1.499103604170786,0.03967983464510996,0.28219740141326644,0.33293469696302946,0.6162998942942245
frozenset({'ANGOL'}),frozenset({'Manipulacion'}),0.21275010642826736,0.918688803746275,0.1997658578118348,0.9389694847423711,1.0220756810286513,1.0,0.0043147170403571855,1.3323039451737368,0.027435851580314148,0.21441626684944026,0.2494205217792126,0.5782080973294802
frozenset({'TEMUCO IV'}),frozenset({'Manipulacion'}),0.20423584504044273,0.918688803746275,0.18997445721583653,0.9301719645648776,1.0124995110115373,1.0,0.002345273053522584,1.1644491463499878,0.015513644270065885,0.20362765229295005,0.1412248416905625,0.5684803288996769
frozenset({'TEMUCO V'}),frozenset({'Manipulacion'}),0.14846743295019157,0.918688803746275,0.13197105151128138,0.8888888888888888,0.9675625579240036,1.0,-0.004424316861010413,0.7318007662835243,-0.03787878787878807,0.14111756003186524,-0.36649214659685975,0.5162702090412934
"frozenset({'TEMUCO II', 'CECINAS GRANEL'})",frozenset({'Manipulacion'}),0.09929757343550447,0.918688803746275,0.08418475947211579,0.8478027867095391,0.9228400120392527,1.0,-0.007038809482255701,0.5342489162304604,-0.08494388675898101,0.09015272395714612,-0.8717866702580771,0.4697192802871143
frozenset({'TEMUCO II'}),frozenset({'Manipulacion'}),0.2120051085568327,0.918688803746275,0.1780544912728821,0.8398594377510041,0.9141936141228493,1.0,-0.016712228295293702,0.5077489120295305,-0.10643493646954524,0.1869064908948721,-0.9694773859837247,0.5168365770775409
frozenset({'YOGHURT'}),frozenset({'Manipulacion'}),0.08322690506598553,0.918688803746275,0.05970625798212005,0.717391304347826,0.7808860861506225,1.0,-0.01675336787245499,0.28771654059010365,-0.2343441090754338,0.06336834971196205,-2.4756430685180986,0.39119101825361646
